Amulet of Dimensions, AotG, Wondrous Item, Yes
Horseshoes of a Zephyr, DMG, Wondrous Item, No
Instrument of the Bard (Anstruth Harp), DMG, Wondrous Item, Yes
Loun Stone (absorption), DMG, Wondrous Item, Yes
Loun Stone (agility), DMG, Wondrous Item, Yes
Loun Stone (fortitude), DMG, Wondrous Item, Yes
Loun Stone (insight), DMG, Wondrous Item, Yes
Loun Stone (intellect), DMG, Wondrous Item, Yes
Loun Stone (leadership), DMG, Wondrous Item, Yes
Loun Stone (strength), DMG, Wondrous Item, Yes
Manual of Bodily Health, DMG, Wondrous Item, No
Manual of Gainful Exercise, DMG, Wondrous Item, No
Manual of Golems, DMG, Wondrous Item, No
Manual of Quickness of Action, DMG, Wondrous Item, No
Mirror of Life Trapping, DMG, Wondrous Item, No
Nine Lives Stealer, DMG, Weapon(sword), Yes
Nolzur's Marvellous Pigments, DMG, Wondrous Item, No
Oathbow, DMG, Weapon(longbow), Yes
Oil of Sharpness, DMG, Potion, No
Potion of Flying, DMG, Potion, No
Potion of Giant Strength (cloud), DMG, Potion, No
Potion of Invisibility, DMG, Potion, No
Potion of Longevity, DMG, Potion, No
Potion of Speed, DMG, Potion, No
Potion of Supreme Healing, DMG, Potion, No
Potion of Vitality, DMG, Potion, No
Ring of Regeneration, DMG, Ring, Yes
Ring of Shooting Stars, DMG, Ring, Yes
Ring of Telekinesis, DMG, Ring, Yes
Robe of Sintillating Colours, DMG, Wondrous Item, Yes
Robe of Stars, DMG, Wondrous Item, Yes
Rod of Absorption, DMG, Rod, Yes
Rod of Alertness, DMG, Rod, Yes
Rod of Security, DMG, Rod, No
Rod of the Pact Keeper +3, DMG, Rod, Yes
Scimitar of Speed, DMG, Weapon(scimitar), Yes
Shield +3, DMG, Armour(shield), No
Spell Scroll (lvl 6), DMG, Scroll, No
Spell Scroll (lvl 7), DMG, Scroll, No
Spell Scroll (lvl 8), DMG, Scroll, No
Spellguard Shield, DMG, Armour(shield), Yes
Staff of Fire, DMG, Staff, Yes
Staff of Frost, DMG, Staff, Yes
Staff of Power, DMG, Staff, Yes
Staff of Striking, DMG, Staff, Yes
Staff of Thunder and Lightning, DMG, Staff, Yes
Sword of Sharpness, DMG, Weapon(slashing damage sword), Yes
Tome of Clear Thought, DMG, Wondrous Item, No
Tome of Leadership and Influence, DMG, Wondrous Item, No
Tome of Understanding, DMG, Wondrous Item, No
Wand of Polymorph, DMG, Wand, Yes
Wand of the War Mage +3, DMG, Wand, Yes
Weapon +3, DMG, Weapon(any), No
